,city,date,treat,price,rating,omtaler,gæster,hårtørrer,shampoo,familie,røgalarm,køleskab,opvaskemasine,kaffe,ting i nærheden,vaskemaskine,sengetøj,underholdning,tv,Sights,Safety,Shopping,Location,Climate,Affordability
0,Amsterdam,2024-07-04,1,820.0,"4,94",86.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
1,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
2,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
3,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
4,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
5,Amsterdam,2024-07-04,1,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
6,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
7,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
8,Amsterdam,2024-07-04,1,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
9,Amsterdam,2024-07-04,1,261.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
10,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
11,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
12,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
13,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
14,Amsterdam,2024-07-04,1,,,,,,1.0,,1.0,,,,,1.0,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
15,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
16,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
17,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
18,Amsterdam,2024-07-04,1,485.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
19,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
20,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
21,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
22,Amsterdam,2024-07-04,1,485.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
23,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
24,Amsterdam,2024-07-04,1,596.0,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
25,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
26,Amsterdam,2024-07-04,1,313.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
27,Amsterdam,2024-07-04,1,418.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
28,Amsterdam,2024-07-04,1,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
29,Amsterdam,2024-07-04,1,578.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
30,Amsterdam,2024-07-04,1,440.0,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
31,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
32,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
33,Amsterdam,2024-07-04,1,708.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
34,Amsterdam,2024-07-04,1,,,,,,1.0,,1.0,,,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
35,Amsterdam,2024-07-04,1,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
36,Amsterdam,2024-07-04,1,522.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,7.3,7.5,6.5,8.75,5.5,2.5
37,Amsterdam,2024-07-04,1,447.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
38,Amsterdam,2024-07-04,1,589.0,,,,,1.0,,1.0,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
39,Amsterdam,2024-07-04,1,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
40,Amsterdam,2024-07-04,1,663.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
41,Amsterdam,2024-07-04,1,,,,,,,,,1.0,,,,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
42,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
43,Amsterdam,2024-07-04,1,,,,,1.0,,,1.0,,,,,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
44,Amsterdam,2024-07-04,1,589.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
45,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
46,Amsterdam,2024-07-04,1,559.0,,,,,,,1.0,,,,,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
47,Amsterdam,2024-07-04,1,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
48,Amsterdam,2024-07-04,1,537.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
49,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
50,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,7.3,7.5,6.5,8.75,5.5,2.5
51,Amsterdam,2024-07-04,1,,,,,,,1.0,1.0,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
52,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
53,Amsterdam,2024-07-04,1,,,,,1.0,1.0,1.0,,,,,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
54,Amsterdam,2024-07-04,1,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
55,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
56,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
57,Amsterdam,2024-07-04,1,,,,,,1.0,,1.0,,,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
58,Amsterdam,2024-07-04,1,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,7.3,7.5,6.5,8.75,5.5,2.5
