,Cities,Day_pre,Day_after,location,price,rating,info,features
0,Hamburg,2024-07-23,2024-07-24,"Hamborg, Tyskland",596,"4,41 · 278 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Varmt vand||Soveværelse og tøjvask||Betalt vaskemaskine – i bygningen||Betalt tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj||Tøjopbevaring||Familie||Vugge||Pack 'n play / rejseseng||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Komfur||Elkedel||Udendørs||Fælles baghave/baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Betalingsparkering i garage uden for ejendommen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Indtjekning uden vært||Smartlock||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: 32""-FJERNSYN
32""-FJERNSYN||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
1,Hamburg,2024-07-23,2024-07-24,[],544,"4,88 · 573 omtaler",1 enkeltseng||Delt badeværelse||Værten bor her||,"Badeværelse||Badekar||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Betalt vaskemaskine – i bygningen||Gratis tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Underholdning||Ethernet-forbindelse||Tv med alm. kabel-tv||Familie||Afløbsdæksler||Varme- og kølefunktion||Varme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Hurtig wi-fi – 261 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Lomme-wi-fi||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Udendørs||Fælles baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på gaden||Betalingsparkering på stedet||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Smartlock||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Privat indgang
Privat indgang||"
2,Hamburg,2024-07-23,2024-07-24,[],685,"5,0 · 12 omtaler",1 seng||Delt badeværelse||Værtens bofæller bor her||,"Badeværelse||Badekar||Hårtørrer||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler – I boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Strygejern||Tøjopbevaring: garderobe||Underholdning||Bøger og læsestof||Familie||Brætspil||Varme- og kølefunktion||Centralvarme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Røgalarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Elkomfur||Ovn i rustfrit stål||Elkedel||Vinglas||Brødrister||Bagepapir||Blender||Spisebord||Kaffe||Udendørs||Fælles baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
3,Hamburg,2024-07-23,2024-07-24,[],894,"4,96 · 23 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Shampoo||Bodyshampoo||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Underholdning||TV||Familie||Børnebøger og legetøj||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
4,Hamburg,2024-07-23,2024-07-24,"Hamborg, Tyskland",339,"4,65 · 63 omtaler",1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Schauma-shampoo||Schauma-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i flannel||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Myggenet||Tøjopbevaring: kommode||Underholdning||Ethernet-forbindelse||Tv med Fire TV||Bøger og læsestof||Familie||Babyalarm||Varme- og kølefunktion||Bærbar aircondition||Bærbare ventilatorer||Centralvarme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Røgalarm||Førstehjælpskasse||Internet og kontor||Wi-fi – 8 Mbps
Bekræftet med hastighedstest. Stream HD-videoer.||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Komfur||Enkeltovn||Elkedel||Kaffemaskine: espressomaskine||Vinglas||Brødrister||Bagepapir||Blender||Grilludstyr
Grill, trækul, bambusspyd/jernspyd osv.||Kaffe||Ting i nærheden||Offentlig eller delt adgang til strand
Gæsterne kan nyde godt af en strand i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Rygning tilladt||Indtjekning uden vært||Postboks||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
5,Hamburg,2024-07-23,2024-07-24,[],377,"4,97 · 325 omtaler",1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Udendørs||Terrasse eller balkon||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Privatliv og sikkerhed||Ikke tilgængelig: Lås på soveværelsesdøren
Lås på soveværelsesdøren
Der er ingen lås på soveværelsesdøren.||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
6,Hamburg,2024-07-23,2024-07-24,[],894,"4,84 · 44 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Underholdning||TV||Familie||Børnebøger og legetøj||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||"
7,Hamburg,2024-07-23,2024-07-24,"Hamborg, Tyskland",701,"4,65 · 71 omtaler",1 seng||Delt badeværelse||Værten bor her||,"Badeværelse||Hårtørrer||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Hurtig wi-fi – 100 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Dedikeret arbejdsplads
I et rum med en dør||Parkering og faciliteter||Betalingsparkering på gaden uden for ejendommen||Tjenester||Værten tager imod dig||Privatliv og sikkerhed||Ikke tilgængelig: Lås på soveværelsesdøren
Lås på soveværelsesdøren
Der er ingen lås på soveværelsesdøren.||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
8,Hamburg,2024-07-23,2024-07-24,"Hamborg, Tyskland",648,"4,91 · 22 omtaler",1 seng||Delt badeværelse||Værten bor her||,"Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Diverse-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Betalt vaskemaskine – i bygningen||Betalt tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Underholdning||Ethernet-forbindelse||Varme- og kølefunktion||Centralvarme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Røgalarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Elkomfur||Elkedel||Kaffemaskine||Vinglas||Bagepapir||Blender||Kaffe||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Der er mulighed for rengøring under opholdet||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
9,Hamburg,2024-07-23,2024-07-24,"Hamborg, Tyskland",454,"4,58 · 151 omtaler",2 gæster|| · 1 soveværelse|| · 2 senge|| · 3 fælles badeværelser||,"Badeværelse||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Underholdning||32""-FJERNSYN||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Overvågningskameraer på ejendommen
Überwachungskameras Parkplatz des Hostel und auf dem gesamten Flur des Hostel||Røgalarm||Kuliltealarm||Brandslukker||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Hurtig wi-fi – 51 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Ovn||Kaffemaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles terrasse eller balkon||Fælles baghave/baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Shampoo
Shampoo||"
