,Cities,Day_pre,Day_after,location,price,rating,info,features
0,Vienna,2024-05-10,2024-05-12,[],246,"4,94 · 410 omtaler",1 seng||Delt badeværelse||Værten bor her||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Strygejern||Varme- og kølefunktion||Varme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Induktionskomfur fra Ikea||Ovn||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Privat pool||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Rygning tilladt||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
1,Vienna,2024-05-10,2024-05-12,[],340,[],1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Tøjtørrestativ||Tøjopbevaring||Underholdning||TV||Familie||Børnebøger og legetøj||Varme- og kølefunktion||Aircondition||Varme||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Kaffemaskine||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Indtjekning uden vært||Postboks||Værten tager imod dig||Privatliv og sikkerhed||Ikke tilgængelig: Lås på soveværelsesdøren
Lås på soveværelsesdøren
Der er ingen lås på soveværelsesdøren.||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
2,Vienna,2024-05-10,2024-05-12,[],298,"4,72 · 114 omtaler",1 enkeltseng||3 delte badeværelser||Der er muligvis andre gæster her||,"Badeværelse||Hårtørrer||Shampoo||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Underholdning||TV||Varme- og kølefunktion||Aircondition||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Tjenester||Indtjekning uden vært||Tastelås
Et tastatur skal være tilgængeligt 24 timer i døgnet, så gæsterne har adgang til dit opslag||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||"
3,Vienna,2024-05-10,2024-05-12,[],294,"4,74 · 34 omtaler",1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Bodyshampoo||Varmt vand||Soveværelse og tøjvask||Betalt vaskemaskine – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Privatliv og sikkerhed||Lås på soveværelsesdøren||Overvågningskameraer på ejendommen||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Parkering og faciliteter||Betalingsparkering på stedet||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||Ikke tilgængelig: Varme
Varme||"
4,Vienna,2024-05-10,2024-05-12,[],242,"4,40 · 42 omtaler",1 seng||Delt badeværelse||Der er muligvis andre gæster her||,"Naturskøn udsigt||Udsigt over byens skyline||Badeværelse||Badekar||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Tøjtørrestativ||Underholdning||Ethernet-forbindelse||Pladespiller||Stereoanlæg med aux||Bøger og læsestof||Familie||Børnebøger og legetøj til børn i alderen 2-5 år, 5-10 år og 10 år og derover||Puslebord – til rådighed på anmodning||Brætspil||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Overvågningskameraer på ejendommen||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Elkomfur||Enkeltovn||Elkedel||Kaffemaskine: kaffemaskine, espressomaskine, stempelkande, Nespresso||Vinglas||Brødrister||Bagepapir||Blender||Riskoger||Kaffe||Ting i nærheden||Møntvaskeri i nærheden||Udendørs||Hængekøje||Parkering og faciliteter||Betalingsparkering på gaden uden for ejendommen||Betalingsparkering på stedet||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Byggearbejdere
En person er tilgængelig 24 timer i døgnet for at kunne lukke gæsterne ind||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: 36"" HDTV med Amazon Prime Video
36"" HDTV med Amazon Prime Video||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Røgalarm
Røgalarm
Der er ingen røgalarm i ejendommen.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
5,Vienna,2024-05-10,2024-05-12,"Schwechat, Niederösterreich, Østrig",334,"4,91 · 238 omtaler",4 senge||Privat badeværelse med egen indgang||Værten bor her med sin familie||,"Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Myggenet||Tøjopbevaring: garderobe||Underholdning||Tv med alm. kabel-tv||Spillekonsol: PS4||Bøger og læsestof||Familie||Vugge||Pack 'n play / rejseseng||Børnebøger og legetøj||Service og bestik til børn||Varme- og kølefunktion||Indendørs pejs: brænde||Bærbare ventilatorer||Varme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Brandslukker||Førstehjælpskasse||Internet og kontor||Wi-fi – 21 Mbps
Bekræftet med hastighedstest. Stream HD-videoer.||Dedikeret arbejdsplads
I et privat område med skærm||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Elkomfur i rustfrit stål||Ovn||Elkedel||Vinglas||Brødrister||Bagepapir||Blender||Grilludstyr
Grill, trækul, bambusspyd/jernspyd osv.||Spisebord||Udendørs||Fælles terrasse eller balkon||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørsmøbler||Hængekøje||Udendørs spiseområde||Grill||Solsenge||Parkering og faciliteter||Gratis parkering på stedet – 2 pladser||Betalingsparkering på gaden uden for ejendommen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Der er ingen røgalarm i ejendommen.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
6,Vienna,2024-05-10,2024-05-12,[],254,"4,90 · 20 omtaler",1 enkeltseng||Delt badeværelse||Værten bor her||,"Badeværelse||Hårtørrer||Soveværelse og tøjvask||Vaskemaskine||Strygejern||Underholdning||TV||Privatliv og sikkerhed||Lås på soveværelsesdøren||Røgalarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Tjenester||Rygning tilladt||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Basisting
Basisting||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||Ikke tilgængelig: Varme
Varme||"
7,Vienna,2024-05-10,2024-05-12,[],276,"4,94 · 142 omtaler",1 dobbeltseng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Varme- og kølefunktion||Varme||Privatliv og sikkerhed||Lås på soveværelsesdøren||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køleskab||Mikrobølgeovn||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Kaffemaskine||Udendørs||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
8,Vienna,2024-05-10,2024-05-12,[],254,1 omtale,1 seng||Delt badeværelse||Der er muligvis andre gæster her||,"Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Underholdning||Træningsudstyr||Bøger og læsestof||Familie||Høj stol||Varme- og kølefunktion||Bærbare ventilatorer||Varme||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Komfur||Ovn||Elkedel||Kaffemaskine||Vinglas||Brødrister||Bagepapir||Blender||Spisebord||Kaffe||Brødmaskine||Ting i nærheden||Møntvaskeri i nærheden||Udendørs||Terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Hængekøje||Udendørs spiseområde||Grill||Cykler||Solsenge||Parkering og faciliteter||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Oplader til elbiler
Gæster kan oplade deres elbiler på ejendommen.||Betalingsparkering uden for ejendommen||Betalingsparkering på stedet||Privat stue||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Værten tager imod dig||Privatliv og sikkerhed||Ikke tilgængelig: Lås på soveværelsesdøren
Lås på soveværelsesdøren
Der er ingen lås på soveværelsesdøren.||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
9,Vienna,2024-05-10,2024-05-12,"Wien, Vienna, Østrig",246,"4,89 · 28 omtaler",1 enkeltseng||Delt badeværelse||Værten bor her||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj
Sengetøj i bomuld||Strygejern||Tøjopbevaring||Varme- og kølefunktion||Varme||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Komfur||Ovn||Elkedel||Kaffemaskine||Brødrister||Udendørs||Terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på gaden||Betalingsparkering på gaden uden for ejendommen||Tjenester||Morgenmad
Der tilbydes morgenmad||Værten tager imod dig||Privatliv og sikkerhed||Ikke tilgængelig: Lås på soveværelsesdøren
Lås på soveværelsesdøren
Der er ingen lås på soveværelsesdøren.||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Tv med alm. kabel-tv
Tv med alm. kabel-tv||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Der er ingen røgalarm i ejendommen.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
