City,Sights,Safety,Shopping,Location,Climate,Affordability
Stockholm,6.75,8.75,6.25,9.00,5.00,1.50
Paris,9.20,6.75,8.50,6.50,6.00,1.50
Amsterdam,7.30,7.50,6.50,8.75,5.50,2.50
Lisbon,7.40,7.50,6.00,7.75,6.50,3.75
Warsaw,6.50,7.00,5.75,5.75,5.75,5.00
Milan,7.35,6.75,7.50,5.50,5.25,3.00
Zürich,5.65,8.75,5.00,8.25,4.25,0.75
Munchen,,,,,,
Madrid,7.50,7.00,7.50,5.25,8.75,3.75
Lyon,6.25,6.75,5.50,7.25,6.75,3.50
Gelsenkirchen,,,,,,
Hamburg,6.40,7.00,6.00,8.25,5.75,2.25
Vienna,7.55,8.75,6.50,6.25,5.75,2.50
Copenhagen,6.80,9.00,5.25,8.25,5.00,1.25
Berlin,8.15,7.00,6.75,6.50,5.50,3.75
Bruxelles,,,,,,
Barcalona,,,,,,
Krakow,7.70,6.75,6.00,6.25,5.00,5.25
Rome,8.95,6.50,7.25,6.50,6.50,3.25
Oslo,6.20,8.50,5.50,8.50,4.00,1.25
Prag,,,,,,
Athen,,,,,,
Bologna,6.40,6.50,5.50,5.50,6.50,4.25
Herning,,,,,,
Århus,,,,,,
Firenze,,,,,,
