,Cities,Day_pre,Day_after,house_link,location,price,rating,info,features
0,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/53269105?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_qVOajuR1q%2B8J8YGM&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,"Heemskerk, Noord-Holland, Holland",820 kr DKK ,"4,94 · 86 omtaler","2 gæster|| · 1 soveværelse|| · 1 seng|| · 1,5 bad||","Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Tøjopbevaring: kommode||Familie||Anbefalinger af babysittere||Varme- og kølefunktion||Indendørs pejs: brænde||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
Omfatter bord||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Boretti-gaskomfur i rustfrit stål||Boretti-ovn i rustfrit stål||Elkedel||Kaffemaskine: Nespresso||Vinglas||Bagepapir||Spisebord||Kaffe||Ting i nærheden||Vandudsigt
Lige ved vandet||Offentlig eller delt adgang til strand
Gæsterne kan nyde godt af en strand i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Bålsted||Udendørsmøbler||Udendørs spiseområde||Privat grill: kul||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Oplader til elbiler
Gæster kan oplade deres elbiler på ejendommen.||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||"
1,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/6160536?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_iw4Ri3kQNN%2FeQw06&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Badeværelse||Hårtørrer||Rengøringsprodukter||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Mørklægningsgardiner||Tøjtørrestativ||Pengeskab||Tøjopbevaring: skab||Underholdning||TV||Familie||Vinduesgitre||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Overvågningskameraer på ejendommen
Alleen in onze garage||Røgalarm
“Woonkamer gewone en slimme rookmelders, slaapkamer gewone en slimme rookmelders, gang rookmelder, garage 2 rookmelders”||Kuliltealarm
“Koolmonoxide melders aanwezig, 1 in garage 1 bovenaan op de trapopgang”||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Gaskomfur i rustfrit stål||Enkeltovn||Elkedel||Kaffemaskine||Vinglas||Brødrister||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Parkering og faciliteter||Gratis parkering på gaden||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Shampoo
Shampoo||"
2,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/17585694?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_q8%2B%2FAgRcZEkukS%2Bc&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Badeværelse||Hårtørrer||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Parkering og faciliteter||Gratis parkering på stedet||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Shampoo
Shampoo||"
3,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/49746260?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_g1VKVtXatyudhnxs&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,[],,,||||||||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld fra Walra||Ekstra puder og dyner||Mørklægningsgardiner||Tøjopbevaring: skab||Underholdning||Bøger og læsestof||Familie||Vugge – til rådighed på anmodning||Pack 'n play / rejseseng||Brætspil||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||AEG-køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Minikøleskab||Opvaskemasine||Elkomfur fra Other||Ovn||Elkedel||Kaffemaskine: Nespresso||Vinglas||Brødrister||Bagepapir||Spisebord||Kaffe||Ting i nærheden||Offentlig eller delt adgang til strand
Gæsterne kan nyde godt af en strand i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Cykler||Parkering og faciliteter||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||"
4,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/6897756?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_gqtlh0nGMkRI0nhV&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Komfur||Ovn||Kaffemaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Parkering og faciliteter||Betalingsparkering uden for ejendommen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
5,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/29838861?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_vPVIbPV678OH1vWo&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Badeværelse||Hårtørrer||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Mørklægningsgardiner||Myggenet||Underholdning||TV||Varme- og kølefunktion||Bærbare ventilatorer||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Minikøleskab||Kaffemaskine||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Terrasse eller balkon||Fælles baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Grill||Cykler||Parkering og faciliteter||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Shampoo
Shampoo||"
6,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/5511285?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_rirzd69318AbiMqZ&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Naturskøn udsigt||Udsigt over gårdhaven||Badeværelse||Hårtørrer||Rengøringsprodukter||Xxxx-shampoo||Body wash-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i egyptisk bomuld fra xxx||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Pengeskab||Tøjopbevaring: garderobe||Underholdning||80"" HDTV med Netflix||Bøger og læsestof||Familie||Brætspil||Varme- og kølefunktion||Bærbar aircondition||Bærbare ventilatorer||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Lomme-wi-fi||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Elkedel||Kaffemaskine||Vinglas||Brødrister||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Udendørsmøbler||Udendørs spiseområde||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Oplader til elbiler
Gæster kan oplade deres elbiler på ejendommen.||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Smartlock||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Gratis vaskemaskine – i boligen
Gratis vaskemaskine – i boligen||"
7,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/44131592?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_2v7YDf4%2FYVtwIw8J&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Tøjtørrestativ||Myggenet||Tøjopbevaring||Underholdning||TV||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Elkedel||Kaffemaskine||Vinglas||Brødrister||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Parkering og faciliteter||Gratis parkering på stedet||Tjenester||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||"
8,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/37323688?check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_jmOEeA5ZyzNorVR%2F&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,,,,||||||||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Marie Stella Maris-shampoo||Marie Stella Maris-bodyshampoo||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Tøjopbevaring||Underholdning||JBL Go speaker-stereoanlæg med bluetooth||Varme- og kølefunktion||Aircondition – kanalfrit system med to enheder||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Hurtig wi-fi – 270 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Køkken og spisning||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Minikøleskab||Elkedel||Kaffemaskine||Vinglas||Ting i nærheden||Vandudsigt
Lige ved vandet||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat baghave/baggård – Ikke helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Parkering og faciliteter||Gratis parkering på stedet||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||"
9,Amsterdam,2024-07-04,2024-07-06,https://www.airbnb.dk/rooms/7730812?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-04&check_out=2024-07-06&source_impression_id=p3_1691748097_EqSAJhEMet1cU2ZX&previous_page_section_name=1000&federated_search_id=ae7a2d11-5cff-475d-9156-892e44a2bd34,[],261 kr DKK ,,1 dobbeltseng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Ovn||Kaffemaskine||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
