,Cities,Day_pre,Day_after,house_link,location,price,rating,info,features
0,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/16980861?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954513_hVFI3dkjxqxlobmF&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,[],345 kr DKK ,"4,90 · 94 omtaler",4 gæster|| · 1 soveværelse|| · 3 senge|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine – i boligen||Gratis tørretumbler – i boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Strygejern||Underholdning||32"" tv med Chromecast||Familie||Brætspil||Varme- og kølefunktion||Strålevarme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Hurtig wi-fi – 125 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Komfur||Ovn||Elkedel||Kaffemaskine: filterkaffe||Vinglas||Bagepapir||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering i indkørslen på stedet||Tjenester||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
1,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/598914779952016899?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_k2NYMa%2BmjibBdHM%2F&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,"Sunds, Danmark",450 kr DKK ,"4,75 · 52 omtaler",3 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Naturskøn udsigt||Haveudsigt||Udsigt over søen||Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj||Ekstra puder og dyner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||37"" HDTV med Chromecast||Familie||Service og bestik til børn||Varme- og kølefunktion||Aircondition||Indendørs pejs: brænde||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Komfur||Ovn||Elkedel||Kaffemaskine: kaffemaskine||Vinglas||Brødrister||Ting i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Privat baghave/baggård – Ikke helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørsmøbler||Udendørs spiseområde||Grill||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||"
2,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/998469?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_t%2Bb4Pt35km5drP%2Bf&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,[],450 kr DKK ,"4,86 · 116 omtaler",5 gæster|| · 1 soveværelse|| · 3 senge|| · 1 badeværelse||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||Ethernet-forbindelse||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Minikøleskab||Komfur||Elkedel||Vinglas||Brødrister||Spisebord||Kaffe||Ting i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Udendørs||Fælles terrasse eller balkon||Baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Parkering og faciliteter||Gratis parkering i indkørslen på stedet||Gratis parkering på gaden||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
3,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/702578074574258431?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_Ez%2FlybfZbSKWlKmw&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,"Silkeborg, Danmark",550 kr DKK ,"4,98 · 41 omtaler",4 gæster|| · 1 soveværelse|| · 2 senge|| · 1 badeværelse||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Betalt vaskemaskine – i bygningen||Betalt tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||40"" tv med stor tv-pakke||Lydanlæg||Bøger og læsestof||Familie||Pack 'n play / rejseseng||Børnebøger og legetøj||Høj stol||Babybadekar||Service og bestik til børn||Puslebord||Afløbsdæksler||Brætspil||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm
“Der må ikke ryges i lejligheden, men jeg finder gerne et askebæger, og så kan I sætte jer i haven på en af terrasserne. ”||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Elkomfur fra Andet||Ovn||Elkedel||Kaffemaskine||Vinglas||Brødrister||Bagepapir||Spisebord||Kaffe||Brødmaskine||Ting i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles terrasse eller balkon||Fælles baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørsmøbler||Hængekøje||Udendørs spiseområde||Grill||Parkering og faciliteter||Gratis parkering i indkørslen på stedet – 2 pladser||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Værten har angivet, at en kuliltealarm ikke er nødvendig. Kontakt værten, hvis du har spørgsmål.||"
4,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/27326650?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_tqW56bxLfJifZSiv&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,"Ikast, Danmark",275 kr DKK ,"4,79 · 66 omtaler",4 gæster|| · 1 soveværelse|| · 3 senge|| · 1 badeværelse||,"Badeværelse||Rengøringsprodukter||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjopbevaring||Underholdning||Ethernet-forbindelse||32"" tv med alm. kabel-tv, Chromecast||Bøger og læsestof||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Almindelig komfur -ovn||Elkedel||Vinglas||Brødrister||Bagepapir||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||"
5,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/52522146?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_7JhhXDlYnoaJvY2z&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,"Kibæk, Danmark",450 kr DKK ,"4,85 · 33 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||32"" HDTV med Disney+, Chromecast, HBO Max||Stereoanlæg med Bluetooth||Familie||Pack 'n play / rejseseng – til rådighed på anmodning||Afløbsdæksler||Brætspil||Varme- og kølefunktion||Aircondition||Varme||Sikkerhed i hjemmet||Overvågningskameraer på ejendommen
Vi har overvågnings kameraer i stalden.||Røgalarm||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||To kogeplader-komfur||Ovn||Elkedel||Kaffemaskine: kaffemaskine||Vinglas||Bagepapir||Spisebord||Kaffe||Ting i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles terrasse eller balkon||Bålsted||Udendørsmøbler||Udendørs spiseområde||Grill: kul, gas||Parkering og faciliteter||Gratis parkering på stedet||Privat spabad – tilgængelig hele året, åben på bestemte tidspunkter||Enetageshus
Ingen trapper i boligen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||"
6,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/891866272749495598?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_GbkynEhphQ8nuAJw&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,"Silkeborg, Danmark",510 kr DKK ,"4,89 · 18 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Betalt vaskemaskine – i boligen||Betalt tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab og garderobe||Underholdning||Tv med Chromecast, stor tv-pakke||Spillekonsol: PS4||Bøger og læsestof||Familie||Pack 'n play / rejseseng||Børnebøger og legetøj||Høj stol||Afløbsdæksler||Brætspil||Babyporte||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Hurtig wi-fi – 77 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Elkomfur fra AEG||Elkedel||Kaffemaskine||Vinglas||Brødrister||Bagepapir||Grilludstyr
Grill, trækul, bambusspyd/jernspyd osv.||Spisebord||Kaffe||Ting i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles terrasse eller balkon||Fælles baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørsmøbler||Hængekøje||Udendørs spiseområde||Grill||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Der er mulighed for rengøring under opholdet||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Værten har angivet, at en kuliltealarm ikke er nødvendig. Kontakt værten, hvis du har spørgsmål.||"
7,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/866791595230315577?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_jOKYPgP5bmZcu7VC&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,"Herning, Danmark",650 kr DKK ,"5,0 · 8 omtaler",2 gæster|| · 1 soveværelse|| · 2 senge|| · 1 badeværelse||,"Naturskøn udsigt||Udsigt over gårdhaven||Badeværelse||Rengøringsprodukter||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Betalt tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Overvågningskameraer på ejendommen
Der er tyveri alarm i huset som tænder hvis alarmen går||Røgalarm||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Komfur||Enkeltovn fra Voss||Elkedel||Kaffemaskine: kaffemaskine||Vinglas||Brødrister||Bagepapir||Blender||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Terrasse eller balkon||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Grill||Solsenge||Parkering og faciliteter||Gratis carport på stedet||Gratis parkering på gaden||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: Trådløst internet
Trådløst internet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||"
8,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/34863080?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_0lW1ekL1rdvBBtsw&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,[],,,||||||||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Mørklægningsgardiner||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Pejs||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Ovn||Kaffemaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat baghave/baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørsmøbler||Udendørs spiseområde||Grill||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||"
9,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/53720074?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_mwatrYByhZsONCWP&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,[],410 kr DKK ,"4,82 · 34 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Rengøringsprodukter||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Tøjopbevaring: skab og garderobe||Underholdning||Ethernet-forbindelse||HDTV||Bøger og læsestof||Varme- og kølefunktion||Centralvarme||Strålevarme||Sikkerhed i hjemmet||Røgalarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et privat område med stikdåse||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Elkomfur fra 2 kogeplader||Ovn||Elkedel||Vinglas||Brødrister||Grilludstyr
Grill, trækul, bambusspyd/jernspyd osv.||Spisebord||Ting i nærheden||Offentlig eller delt adgang til strand
Gæsterne kan nyde godt af en strand i nærheden||Adgang til sø
Gæster kan komme til en sø ved hjælp af en sti eller en dok||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles baghave/baggård – Ikke helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Grill||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||"
10,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/6656395?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_ieBqag41YEGTZqWm&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,[],350 kr DKK ,"4,92 · 107 omtaler",2 gæster|| · Studio-lejlighed|| · 3 senge|| · 1 badeværelse||,"Badeværelse||Rengøringsprodukter||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Underholdning||21""-FJERNSYN||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Internet og kontor||Trådløst internet||Køkken og spisning||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Ovn||Tekøkken
Space where guests can heat up and refrigerate food||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Grill: kul||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Shampoo
Shampoo||"
11,Herning,2024-07-17,2024-07-19,https://www.airbnb.dk/rooms/8261954?check_in=2024-07-17&check_out=2024-07-19&source_impression_id=p3_1691954514_g28QKTzw33yy1slu&previous_page_section_name=1000&federated_search_id=e9698aa3-1c1b-4eff-92e5-1935f04286cf,,,,||||||||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Nivea-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab, garderobe og kommode||Underholdning||42"" HDTV med Netflix, Chromecast||Apple-stereoanlæg med aux||Bøger og læsestof||Familie||Vugge – til rådighed på anmodning||Varme- og kølefunktion||Central aircondition||Indendørs pejs: ætanol||Bærbare ventilatorer||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Komfur||Ovn||Elkedel||Kaffemaskine||Vinglas||Brødrister||Bagepapir||Blender||Grilludstyr
Grill, trækul, bambusspyd/jernspyd osv.||Spisebord||Kaffe||Brødmaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Privat baghave/baggård – Ikke helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørsmøbler||Udendørs spiseområde||Privat udendørs køkken||Grill||Cykler||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Værten tager imod dig||"
