,Cities,Day_pre,Day_after,house_link,location,price,rating,info,features
0,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/21102150?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_%2FfIz9VN8JrYiQFu4&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,[],296,,1 dobbeltseng||Dedikeret badeværelse||Værten bor her||,"Badeværelse||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Parkering og faciliteter||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
1,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/53305553?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_g3jbEu1sJc%2FHU4Qv&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,"Brignais, Auvergne-Rhône-Alpes, Frankrig",234,"4,98 · 173 omtaler",1 dobbeltseng||Privat badeværelse med egen indgang||Værten bor her||,"Badeværelse||Hårtørrer||Rengøringsprodukter||Nivéa-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||TV||Bøger og læsestof||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et privat område med skrivebord og kontorstol||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Elkedel||Udendørs||Privat terrasse eller balkon||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
2,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/20563567?check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_mZCE%2FptWyIE3OQuL&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,[],460,"4,82 · 336 omtaler","2 gæster|| · 1 soveværelse|| · 1 seng|| · 1,5 bad||","Badeværelse||Hårtørrer||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Varme- og kølefunktion||Centralvarme||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Kaffemaskine||Brødrister||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Parkering og faciliteter||Gratis parkering på stedet||Enetageshus
Ingen trapper i boligen||Tjenester||Morgenmad
Der tilbydes morgenmad||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Der er ingen røgalarm i ejendommen.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||"
3,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/753662186907896056?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_KTI8dQKc9EIxOOGG&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,"Lyon, Auvergne-Rhône-Alpes, Frankrig",488,"5,0 · 119 omtaler",1 sovesofa||Delt badeværelse||Værten bor her||,"Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Gratis vaskemaskine – i boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||Bøger og læsestof||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Hurtig wi-fi – 142 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Lomme-wi-fi||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Gaskomfur fra Whirlpool||Ovn||Elkedel||Kaffemaskine: espressomaskine, Nespresso||Vinglas||Brødrister||Bagepapir||Spisebord||Kaffe||Ting i nærheden||Møntvaskeri i nærheden||Udendørs||Fælles terrasse eller balkon||Parkering og faciliteter||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Betalingsparkering på gaden uden for ejendommen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Der er mulighed for rengøring under opholdet||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
4,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/15949067?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_khogn0G1CX0QD49O&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,"Lyon, Auvergne-Rhône-Alpes, Frankrig",351,"4,78 · 482 omtaler",1 enkeltseng||Delt badeværelse||Værten bor her||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Underholdning||HDTV med Netflix||Familie||Brætspil||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Brandslukker||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Ovn||Kaffemaskine||Udendørs||Terrasse eller balkon||Privat baghave/baggård – Ikke helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på gaden||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Enetageshus
Ingen trapper i boligen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
5,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/4303415?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_W39JTRUEDsyiN9DF&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,"Lyon, Rhône-Alpes, Frankrig",374,"4,86 · 648 omtaler",1 dobbeltseng||Delt badeværelse||Værten bor her||,"Badeværelse||Badekar||Shampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køleskab||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Parkering og faciliteter||Betalingsparkering uden for ejendommen||Tjenester||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
6,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/4679721?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_5LLLGwB9%2FFE3%2F3E2&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,,217,,1 dobbeltseng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Underholdning||TV||Varme- og kølefunktion||Varme||Internet og kontor||Wi-fi – 9 Mbps
Bekræftet med hastighedstest. Stream HD-videoer.||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Komfur||Ovn||Kaffemaskine||Udendørs||Terrasse eller balkon||Parkering og faciliteter||Gratis parkering på stedet||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Der er ingen røgalarm i ejendommen.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
7,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/15879904?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_yzzDr5hq3w8V%2F3CG&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,"Lyon, Auvergne-Rhône-Alpes, Frankrig",377,"4,83 · 523 omtaler",1 enkeltseng||Delt badeværelse||Værten bor her||,"Badeværelse||Hårtørrer||Rengøringsprodukter||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Ekstra puder og dyner||Strygejern||Tøjopbevaring: walk-in-closet||Underholdning||Bøger og læsestof||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Lomme-wi-fi||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Gaskomfur fra Electrolux||Ovn||Elkedel||Kaffemaskine: kaffemaskine||Vinglas||Brødrister||Blender||Spisebord||Ting i nærheden||Møntvaskeri i nærheden||Parkering og faciliteter||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Oplader til elbiler
Gæster kan oplade deres elbiler på ejendommen.||Betalingsparkering på gaden uden for ejendommen||Betalingsparkering på stedet||Enetageshus
Ingen trapper i boligen||Tjenester||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
8,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/53553997?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_3wO31S8XPj5e9GYB&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,,450,,1 seng||Delt badeværelse||Værten bor her||,"Naturskøn udsigt||Udsigt over parken||Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Dop-shampoo||Gel douche -bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Gratis vaskemaskine – i boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Underholdning||32"" HDTV||Bøger og læsestof||Varme- og kølefunktion||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køleskab||Mikrobølgeovn||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Ovn||Elkedel||Brødrister||Spisebord||Kaffe||Ting i nærheden||Møntvaskeri i nærheden||Udendørs||Privat terrasse eller balkon||Parkering og faciliteter||Gratis parkering på stedet||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Rygning tilladt||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
9,Lyon,2024-06-02,2024-06-03,https://www.airbnb.dk/rooms/563345316427852311?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-06-02&check_out=2024-06-03&source_impression_id=p3_1692135894_R6GDRf8HIxf49WNp&previous_page_section_name=1000&federated_search_id=12debb73-7c75-4d29-a9dd-753e06c7624d,[],443,"4,92 · 106 omtaler",1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Rengøringsprodukter||Shampoo||Balsam||SANEX-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Betalt vaskemaskine – i boligen||Betalt tørretumbler – i boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Strygejern||Tøjopbevaring: garderobe||Underholdning||Ethernet-forbindelse||Klaver||Bøger og læsestof||Familie||Vugge||Pack 'n play / rejseseng||Børnebøger og legetøj||Service og bestik til børn||Varme- og kølefunktion||Central aircondition||Bærbare ventilatorer||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Beko-køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Ovn||Kaffemaskine: Nespresso||Bagepapir||Kaffe||Udendørs||Privat terrasse eller balkon||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Betalingsparkering i garage uden for ejendommen||Enetageshus
Ingen trapper i boligen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Morgenmad
Der tilbydes morgenmad||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
