,Cities,Day_pre,Day_after,house_link,location,price,rating,info,features
0,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/47015980?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_a5gn4r8dWtvFum9r&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],197,"4,37 · 19 omtaler",2 gæster|| · 1 soveværelse|| · 2 senge|| · 1 privat badeværelse||,"Badeværelse||Hårtørrer||Shampoo||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Strygejern||Underholdning||TV||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Overvågningskameraer på ejendommen
Společné prostory (chodby, recepce...)||Røgalarm||Brandslukker||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
1,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/886751339555775568?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_MzQfIkIf7qlTS2se&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],503,"5,0 · 6 omtaler",4 gæster|| · 1 soveværelse|| · 2 senge|| · 1 badeværelse||,"||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Gratis tørretumbler – i boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Strygejern||Tøjopbevaring: skab||Underholdning||TV||Familie||Børnebøger og legetøj til børn i alderen 0-2 år og 2-5 år||Fritstående høj stol – altid i boligen||Service og bestik til børn||Afløbsdæksler||Varme- og kølefunktion||Centralvarme||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Gaskomfur||Enkeltovn||Elkedel||Kaffemaskine: kaffemaskine||Vinglas||Bagepapir||Spisebord||Kaffe||Parkering og faciliteter||Gratis parkering på gaden||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Betalingsparkering på stedet||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Der er mulighed for rengøring under opholdet||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
2,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/22853376?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_BQL43e1Zj8xXFKMS&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],438,"4,79 · 155 omtaler",6 gæster|| · 1 soveværelse|| · 4 senge|| · 1 badeværelse||,"Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Tøjopbevaring: skab||Underholdning||Tv med alm. kabel-tv||Familie||Vinduesgitre||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Brandslukker||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Komfur||Ovn||Elkedel||Kaffemaskine||Brødrister||Bagepapir||Blender||Spisebord||Kaffe||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Betalingsparkering uden for ejendommen||Tjenester||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Privat indgang
Privat indgang||"
3,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/51413700?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_u2%2BiNp1eWpe%2BBWOO&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],438,"4,88 · 139 omtaler",2 gæster|| · 1 soveværelse|| · 2 senge|| · 1 badeværelse||,"Badeværelse||Badekar||Rengøringsprodukter||Balea-shampoo||Balea-bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Mørklægningsgardiner||Tøjopbevaring: kommode||Underholdning||Bøger og læsestof||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Elkedel||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
4,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/37313801?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_J2xZVeIZ2uHpzsEP&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],445,"4,88 · 120 omtaler","2 gæster|| · Studio-lejlighed|| · 1 seng|| · 1,5 bad||","Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Strygejern||Underholdning||TV||Varme- og kølefunktion||Varme||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Parkering og faciliteter||Betalingsparkering på gaden uden for ejendommen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
5,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/893938542665888499?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_pFlxN4xxLWzTU2rv&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],499,"4,71 · 14 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Cien-shampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Gratis vaskemaskine – i boligen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Sengetøj
Sengetøj i bomuld fra Grádl||Mørklægningsgardiner||Strygejern||Tøjtørrestativ||Underholdning||43"" HDTV med Netflix||Familie||Vugge – til rådighed på anmodning
Mini (96 centimeter lang x 60 centimter bred)||Pack 'n play / rejseseng – til rådighed på anmodning||Anbefalinger af babysittere||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||LG-køleskab||Minikøleskab||Elkedel||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Møntvaskeri i nærheden||Parkering og faciliteter||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Betalingsparkering i garage uden for ejendommen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Der er mulighed for rengøring under opholdet||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Aircondition
Aircondition||"
6,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/19206883?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_t%2F5Ov5L%2FAfMgfiQY&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,[],448,"4,86 · 231 omtaler",3 gæster|| · 1 soveværelse|| · 2 senge|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Strygejern||Underholdning||TV||Varme- og kølefunktion||Varme||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Komfur||Ovn||Kaffemaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Parkering og faciliteter||Betalingsparkering på gaden uden for ejendommen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
7,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/676488295997865754?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_FiUEbOK5oe8VFMD1&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,"Praha 5, Hlavní město Praha, Tjekkiet",365,"4,72 · 47 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Rengøringsprodukter||Schwarzkopf-shampoo||Nivea-hårbalsam||Varmt vand||Showergel||Soveværelse og tøjvask||Gratis vaskemaskine – i boligen||Betalt tørretumbler – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Tøjtørrestativ||Tøjopbevaring: walk-in-closet, skab, garderobe og kommode||Underholdning||Træningsudstyr: crosstrainer, frivægte, kondicykel, løbebånd||Varme- og kølefunktion||Indendørs pejs: el||Centralvarme||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et rum med en dør||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Concept-køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Induktionskomfur||Concept-ovn||Elkedel||Brødrister||Bagepapir||Spisebord||Kaffe||Udendørs||Fælles baghave/baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Bålsted||Udendørs spiseområde||Fælles grill||Parkering og faciliteter||Gratis parkering på gaden||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Fælles fitnesscenter i bygningen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
8,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/770383174777821152?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_hw9ZZjYDBZbWc88l&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,"Praha 7, Hlavní město Praha, Tjekkiet",372,"4,89 · 61 omtaler",1 seng||Delt badeværelse||Der er muligvis andre gæster her||,"Naturskøn udsigt||Udsigt over gårdhaven||Badeværelse||Badekar||Hårtørrer||Rengøringsprodukter||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Ekstra puder og dyner||Strygejern||Tøjopbevaring||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Internet og kontor||Hurtig wi-fi – 186 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Dedikeret arbejdsplads
I et fælles område||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Opvaskemasine||Gaskomfur fra Frigidaire||Ovn i rustfrit stål||Elkedel||Kaffemaskine: stempelkande||Brødrister||Bagepapir||Spisebord||Kaffe||Parkering og faciliteter||Elevator
Boligen eller ejendommen har en elevator, der er mindst 132 cm dyb, og en døråbning, der er mindst 81 cm bred.||Betalingsparkering på parkeringsplads uden for ejendommen||Tjenester||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Gratis vaskemaskine – i boligen
Gratis vaskemaskine – i boligen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Privat indgang
Privat indgang||"
9,Prag,2024-07-27,2024-07-28,https://www.airbnb.dk/rooms/13538066?check_in=2024-07-27&check_out=2024-07-28&source_impression_id=p3_1692008673_aXaHn1IjNVSZ0rMo&previous_page_section_name=1000&federated_search_id=1450576b-f670-4dad-a916-00c34bcb1315,"Prague, Tjekkiet",596,"4,52 (70 omtaler)",3 gæster|| · 1 soveværelse|| · 2 senge||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Strygejern||Underholdning||TV||Familie||Vugge||Pack 'n play / rejseseng||Varme- og kølefunktion||Aircondition||Varme||Sikkerhed i hjemmet||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Kaffemaskine||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Betalingsparkering uden for ejendommen||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Indtjekning uden vært||Byggearbejdere
En person er tilgængelig 24 timer i døgnet for at kunne lukke gæsterne ind||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
