,Cities,Day_pre,Day_after,house_link,location,price,rating,info,features
0,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/1295964?check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_AKNrcuJEUohH7VYJ&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],450 kr DKK ,"4,85 · 163 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Underholdning||TV||Familie||Børnebøger og legetøj||Høj stol||Varme- og kølefunktion||Varme||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Kaffemaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Røgalarm
Røgalarm
Denne bolig har muligvis ikke en røgalarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||"
1,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/19069956?check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_zG9Hxjq2nPx%2FCbBX&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,"Hjortshøj, Danmark",500 kr DKK ,"4,89 · 296 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Strygejern||Underholdning||TV||Familie||Høj stol||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Udendørs||Terrasse eller balkon||Privat baghave/baggård – Helt indhegnet
Et åbent område på ejendommen, der normalt er dækket af græs||Grill||Parkering og faciliteter||Gratis parkering på stedet||Tjenester||Kæledyr tilladt
Servicedyr tillades altid||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Privat indgang
Privat indgang||"
2,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/20587660?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_5vkaw3OYwLWq76fC&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],[],"4,91 · 708 omtaler",1 dobbeltseng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Shampoo||Bodyshampoo||Varmt vand||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køleskab||Mikrobølgeovn||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Kaffemaskine||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
3,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/11788537?check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_Go0AwES63P9du%2B5T&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,"Sabro, Danmark",475 kr DKK ,"4,96 · 213 omtaler",2 gæster|| · 1 soveværelse|| · 1 seng|| · 1 badeværelse||,"Badeværelse||Hårtørrer||Shampoo||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Komfur||Ovn||Ting i nærheden||Vandudsigt
Lige ved vandet||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Parkering og faciliteter||Gratis parkering på stedet||Tjenester||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||"
4,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/52819428?check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_ZgUXWiyQp9u8ljdz&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],400 kr DKK ,"4,90 · 86 omtaler",4 gæster|| · 1 soveværelse|| · 2 senge|| · 1 badeværelse||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Hårtørrer||Rengøringsprodukter||Sanex-shampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Strygejern||Underholdning||43"" HDTV||Bøger og læsestof||Familie||Brætspil||Varme- og kølefunktion||Bærbare ventilatorer||Strålevarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads
I et privat område med skrivebord||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Isander-køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Fryser||Komfur||Ovn||Elkedel||Kaffemaskine: kaffemaskine||Vinglas||Brødrister||Bagepapir||Spisebord||Kaffe||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Privat terrasse eller balkon||Udendørsmøbler||Udendørs spiseområde||Privat grill: gas||Parkering og faciliteter||Gratis parkering på stedet||Enetageshus
Ingen trapper i boligen||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Indtjekning uden vært||Postboks||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||"
5,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/30943555?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_8P%2BUYBPdeEMHqbrU&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],350 kr DKK ,,2 enkeltsenge||Privat badeværelse med egen indgang||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Shampoo||Balsam||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Ekstra puder og dyner||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Brandslukker||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køleskab||Mikrobølgeovn||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Ting i nærheden||Privat indgang
Separat indgang til gaden eller bygningen||Udendørs||Fælles terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Grill||Parkering og faciliteter||Gratis parkering på stedet||Tjenester||Bagageaflevering tilladt
Bekvemt for gæsterne når de ankommer tidligt eller tager sent af sted||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: Aircondition
Aircondition||"
6,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/11879028?check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_EClczHqrl5h5k7op&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],,,||||||||,"Badeværelse||Hårtørrer||Soveværelse og tøjvask||Bøjler||Strygejern||Underholdning||Tv med alm. kabel-tv||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Internet og kontor||Hurtig wi-fi – 106 Mbps
Bekræftet med hastighedstest. Stream 4K-videoer, og deltag i videoopkald på flere enheder.||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Parkering og faciliteter||Gratis parkering på stedet||Ikke inkluderet||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Basisting
Basisting||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Der er ingen kuliltealarm i ejendommen.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
7,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/744800540267423459?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_pR0gpZXpnWBmiIez&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],300 kr DKK ,"4,91 · 11 omtaler",1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Soveværelse og tøjvask||Vaskemaskine||Tørretumbler||Underholdning||TV||Sikkerhed i hjemmet||Røgalarm||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Udendørs||Udendørs spiseområde||Grill||Parkering og faciliteter||Betalingsparkering på stedet||Ikke inkluderet||Ikke tilgængelig: Overvågningskameraer på ejendommen
Overvågningskameraer på ejendommen||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Basisting
Basisting||Ikke tilgængelig: Kuliltealarm
Kuliltealarm
Denne bolig har muligvis ikke en kuliltealarm. Kontakt værten, hvis du har spørgsmål.||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||Ikke tilgængelig: Varme
Varme||"
8,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/1418172?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_77Zv9dkzrLRrLiJd&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,[],,[],||||||,"Naturskøn udsigt||Haveudsigt||Badeværelse||Varmt vand||Soveværelse og tøjvask||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj||Tøjopbevaring: skab, garderobe og kommode||Underholdning||Bøger og læsestof||Varme- og kølefunktion||Varme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Trådløst internet||Dedikeret arbejdsplads||Lomme-wi-fi||Køkken og spisning||Køkken
Sted hvor gæsterne kan tilberede deres egne måltider||Køleskab||Mikrobølgeovn||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Opvaskemasine||Komfur||Ovn||Elkedel||Kaffemaskine: espressomaskine, stempelkande||Brødrister||Spisebord||Udendørs||Privat terrasse eller balkon||Baggård
Et åbent område på ejendommen, der normalt er dækket af græs||Udendørsmøbler||Udendørs spiseområde||Parkering og faciliteter||Gratis parkering på stedet||Gratis parkering på gaden||Tjenester||Længerevarende ophold tilladt
Tillader ophold på 28 dage eller mere||Værten tager imod dig||Ikke inkluderet||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Vaskemaskine
Vaskemaskine||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Hårtørrer
Hårtørrer||Ikke tilgængelig: Shampoo
Shampoo||Ikke tilgængelig: Privat indgang
Privat indgang||"
9,Århus,2024-07-23,2024-07-24,https://www.airbnb.dk/rooms/4451965?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2024-07-23&check_out=2024-07-24&source_impression_id=p3_1691957699_ITgPGwbma3B8GxiZ&previous_page_section_name=1000&federated_search_id=97cd48ef-5cb2-4d22-8fb0-2393567df981,,350 kr DKK ,,1 seng||Delt badeværelse||Værten eller andre bor muligvis i boligen||,"Badeværelse||Hårtørrer||Shampoo||Bodyshampoo||Varmt vand||Showergel||Soveværelse og tøjvask||Gratis vaskemaskine – i bygningen||Basisting
Håndklæder, sengetøj, sæbe og toiletpapir||Bøjler||Sengetøj
Sengetøj i bomuld||Mørklægningsgardiner||Strygejern||Underholdning||Klaver||Varme- og kølefunktion||Centralvarme||Sikkerhed i hjemmet||Røgalarm||Kuliltealarm||Lås på dør til soveværelset
Privat værelse kan låses for sikkerhed og privatliv||Førstehjælpskasse||Internet og kontor||Trådløst internet||Køkken og spisning||Køleskab||Basale ingredienser og basalt køkkentøj
Gryder og pander, olie, salt og peber||Service og bestik
Skåle, spisepinde, tallerkener, kopper osv.||Elkedel||Vinglas||Ikke inkluderet||Ikke tilgængelig: Køkken
Køkken||Ikke tilgængelig: TV
TV||Ikke tilgængelig: Aircondition
Aircondition||Ikke tilgængelig: Privat indgang
Privat indgang||"
