,city,date,treat,price,rating,omtaler,gæster,hårtørrer,shampoo,sengetøj,underholdning,familie,køleskab,opvaskemasine,ting i nærheden,røgalarm,tv,vaskemaskine,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
0,Bologna,2024-06-02,0,291.0,4.96,196,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
1,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
2,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
3,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
4,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
5,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
6,Bologna,2024-06-02,0,,,,,1.0,,,,1.0,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
7,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
8,Bologna,2024-06-02,0,268.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
9,Bologna,2024-06-02,0,261.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
10,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
11,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
12,Bologna,2024-06-02,0,156.0,,,,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
13,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
14,Bologna,2024-06-02,0,313.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
15,Bologna,2024-06-02,0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
16,Bologna,2024-06-02,0,,,,,1.0,,,,,1.0,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
17,Bologna,2024-06-02,0,387.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
18,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
19,Bologna,2024-06-02,0,298.0,,,,,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
20,Bologna,2024-06-02,0,373.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
21,Bologna,2024-06-02,0,261.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
22,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
23,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
24,Bologna,2024-06-02,0,335.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
25,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
26,Bologna,2024-06-02,0,156.0,,,,1.0,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
27,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
28,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
29,Bologna,2024-06-02,0,380.0,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
30,Bologna,2024-06-02,0,313.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
31,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
32,Bologna,2024-06-02,0,387.0,,,,1.0,1.0,,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
33,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
34,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
35,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
36,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
37,Bologna,2024-06-02,0,,,,,1.0,,,,,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
38,Bologna,2024-06-02,0,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
39,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
40,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
41,Bologna,2024-06-02,0,291.0,,,,,,,1.0,,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
42,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
43,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
44,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
