,city,date,treat,price,rating,omtaler,gæster,shampoo,underholdning,røgalarm,ting i nærheden,hårtørrer,sengetøj,familie,køleskab,tv,vaskemaskine,opvaskemasine,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
0,Hamburg,2024-07-23,1,447.0,4.77,22,2.0,1.0,1.0,1.0,1.0,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
1,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
2,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,6.4,7.0,6.0,8.25,5.75,2.25
3,Hamburg,2024-07-23,1,,,,,1.0,1.0,,,1.0,,,,1.0,,,,6.4,7.0,6.0,8.25,5.75,2.25
4,Hamburg,2024-07-23,1,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,6.4,7.0,6.0,8.25,5.75,2.25
5,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,6.4,7.0,6.0,8.25,5.75,2.25
6,Hamburg,2024-07-23,1,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
7,Hamburg,2024-07-23,1,,,,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
8,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,6.4,7.0,6.0,8.25,5.75,2.25
9,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
10,Hamburg,2024-07-23,1,261.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
11,Hamburg,2024-07-23,1,,,,,1.0,,1.0,,1.0,1.0,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
12,Hamburg,2024-07-23,1,455.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
13,Hamburg,2024-07-23,1,507.0,,,,,,1.0,,,,,,,1.0,,,6.4,7.0,6.0,8.25,5.75,2.25
14,Hamburg,2024-07-23,1,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,6.4,7.0,6.0,8.25,5.75,2.25
15,Hamburg,2024-07-23,1,447.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,6.4,7.0,6.0,8.25,5.75,2.25
16,Hamburg,2024-07-23,1,288.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
17,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
18,Hamburg,2024-07-23,1,,,,,,,1.0,,1.0,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
19,Hamburg,2024-07-23,1,402.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
20,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
21,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,,1.0,,1.0,,,,,6.4,7.0,6.0,8.25,5.75,2.25
22,Hamburg,2024-07-23,1,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
23,Hamburg,2024-07-23,1,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
24,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
25,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
26,Hamburg,2024-07-23,1,179.0,,,,1.0,1.0,,,,1.0,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
27,Hamburg,2024-07-23,1,507.0,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
28,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,6.4,7.0,6.0,8.25,5.75,2.25
29,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,6.4,7.0,6.0,8.25,5.75,2.25
30,Hamburg,2024-07-23,1,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,6.4,7.0,6.0,8.25,5.75,2.25
31,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,1.0,,,1.0,,,,,6.4,7.0,6.0,8.25,5.75,2.25
32,Hamburg,2024-07-23,1,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
33,Hamburg,2024-07-23,1,,,,,,,,,,,1.0,1.0,,1.0,,,6.4,7.0,6.0,8.25,5.75,2.25
34,Hamburg,2024-07-23,1,261.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,6.4,7.0,6.0,8.25,5.75,2.25
35,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
36,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,,,,1.0,,1.0,,,6.4,7.0,6.0,8.25,5.75,2.25
37,Hamburg,2024-07-23,1,328.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,6.4,7.0,6.0,8.25,5.75,2.25
38,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
39,Hamburg,2024-07-23,1,,,,,,,,,,,,,,1.0,,,6.4,7.0,6.0,8.25,5.75,2.25
40,Hamburg,2024-07-23,1,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,6.4,7.0,6.0,8.25,5.75,2.25
41,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
42,Hamburg,2024-07-23,1,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,6.4,7.0,6.0,8.25,5.75,2.25
43,Hamburg,2024-07-23,1,268.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,6.4,7.0,6.0,8.25,5.75,2.25
44,Hamburg,2024-07-23,1,477.0,,,,,1.0,1.0,,,,,,1.0,,,,6.4,7.0,6.0,8.25,5.75,2.25
