,city,date,treat,price,rating,omtaler,hårtørrer,køleskab,ting i nærheden,sengetøj,underholdning,familie,røgalarm,opvaskemasine,shampoo,kaffe,vaskemaskine,tv,gæster,Sights,Safety,Shopping,Location,Climate,Affordability
0,Lisbon,2024-05-24,1,335.0,4.93,559,1.0,1.0,1.0,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
1,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
2,Lisbon,2024-05-24,1,410.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
3,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
4,Lisbon,2024-05-24,1,260.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
5,Lisbon,2024-05-24,1,,,,,,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
6,Lisbon,2024-05-24,1,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
7,Lisbon,2024-05-24,1,291.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
8,Lisbon,2024-05-24,1,186.0,,,1.0,1.0,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
9,Lisbon,2024-05-24,1,291.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
10,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
11,Lisbon,2024-05-24,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
12,Lisbon,2024-05-24,1,216.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
13,Lisbon,2024-05-24,1,283.0,,,1.0,1.0,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
14,Lisbon,2024-05-24,1,320.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
