,city,date,treat,price,rating,omtaler,gæster,familie,røgalarm,køleskab,ting i nærheden,hårtørrer,vaskemaskine,underholdning,tv,opvaskemasine,sengetøj,shampoo,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
0,Stockholm,2024-05-17,1,375.0,4.86,88,2.0,1.0,1.0,1.0,1.0,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
1,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
2,Stockholm,2024-05-17,1,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
3,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
4,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
5,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
6,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
7,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
8,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,6.75,8.75,6.25,9.0,5.0,1.5
9,Stockholm,2024-05-17,1,,,,,,1.0,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
10,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
11,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
12,Stockholm,2024-05-17,1,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
13,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
14,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
15,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
16,Stockholm,2024-05-17,1,273.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
17,Stockholm,2024-05-17,1,320.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
18,Stockholm,2024-05-17,1,,,,4.0,,,,1.0,,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
19,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
