,city,date,treat,price,rating,omtaler,gæster,hårtørrer,shampoo,underholdning,køleskab,opvaskemasine,kaffe,ting i nærheden,vaskemaskine,sengetøj,familie,tv,røgalarm,Sights,Safety,Shopping,Location,Climate,Affordability
0,Warsaw,2024-08-01,1,370.0,5.0,5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
1,Warsaw,2024-08-01,1,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,6.5,7.0,5.75,5.75,5.75,5.0
2,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
3,Warsaw,2024-08-01,1,,,,,1.0,,1.0,,,,,,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
4,Warsaw,2024-08-01,1,,,,,1.0,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
5,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
6,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,6.5,7.0,5.75,5.75,5.75,5.0
7,Warsaw,2024-08-01,1,,,,,1.0,,,,,,,1.0,,1.0,,,6.5,7.0,5.75,5.75,5.75,5.0
8,Warsaw,2024-08-01,1,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,6.5,7.0,5.75,5.75,5.75,5.0
9,Warsaw,2024-08-01,1,,,,,1.0,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
10,Warsaw,2024-08-01,1,,,,,1.0,1.0,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
11,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
12,Warsaw,2024-08-01,1,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
13,Warsaw,2024-08-01,1,,,,,,,,,,1.0,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
14,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
15,Warsaw,2024-08-01,1,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,6.5,7.0,5.75,5.75,5.75,5.0
16,Warsaw,2024-08-01,1,,,,,1.0,,1.0,1.0,,,,,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
17,Warsaw,2024-08-01,1,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
18,Warsaw,2024-08-01,1,268.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
19,Warsaw,2024-08-01,1,,,,,1.0,,1.0,,,,,,,,,1.0,6.5,7.0,5.75,5.75,5.75,5.0
20,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,1.0,6.5,7.0,5.75,5.75,5.75,5.0
21,Warsaw,2024-08-01,1,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
22,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,6.5,7.0,5.75,5.75,5.75,5.0
23,Warsaw,2024-08-01,1,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,6.5,7.0,5.75,5.75,5.75,5.0
24,Warsaw,2024-08-01,1,,,,,1.0,,1.0,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
25,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
26,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
27,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
28,Warsaw,2024-08-01,1,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
29,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
30,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
31,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,6.5,7.0,5.75,5.75,5.75,5.0
32,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
33,Warsaw,2024-08-01,1,162.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,7.0,5.75,5.75,5.75,5.0
34,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
35,Warsaw,2024-08-01,1,,,,,,,1.0,1.0,,,,1.0,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
36,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
37,Warsaw,2024-08-01,1,,,,,,,,1.0,,,,,1.0,,,,6.5,7.0,5.75,5.75,5.75,5.0
38,Warsaw,2024-08-01,1,209.0,,,,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
39,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
40,Warsaw,2024-08-01,1,126.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
41,Warsaw,2024-08-01,1,151.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
42,Warsaw,2024-08-01,1,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
43,Warsaw,2024-08-01,1,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
44,Warsaw,2024-08-01,1,,,,,1.0,,,,,,,1.0,,1.0,,,6.5,7.0,5.75,5.75,5.75,5.0
45,Warsaw,2024-08-01,1,,,,,,,1.0,,,,,1.0,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
46,Warsaw,2024-08-01,1,,,,,,,,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
47,Warsaw,2024-08-01,1,,,,2.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
48,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,6.5,7.0,5.75,5.75,5.75,5.0
49,Warsaw,2024-08-01,1,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,6.5,7.0,5.75,5.75,5.75,5.0
50,Warsaw,2024-08-01,1,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
51,Warsaw,2024-08-01,1,,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,6.5,7.0,5.75,5.75,5.75,5.0
52,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,6.5,7.0,5.75,5.75,5.75,5.0
53,Warsaw,2024-08-01,1,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,6.5,7.0,5.75,5.75,5.75,5.0
54,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
55,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
56,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
57,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
58,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
59,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
60,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
61,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
62,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
63,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
64,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
65,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
66,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
67,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
68,Warsaw,2024-08-01,1,301.0,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
69,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
70,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
71,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
72,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
73,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
74,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
75,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
76,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
77,Warsaw,2024-08-01,1,171.0,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
78,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
79,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
80,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
81,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
82,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
83,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
84,Warsaw,2024-08-01,1,276.0,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
85,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
86,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
87,Warsaw,2024-08-01,1,225.0,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
88,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
89,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
90,Warsaw,2024-08-01,1,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
