,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,washing machine,hangers,entertainment,security,work,wi-fi,kitchen,refrigerator,family,parkering and faciliteter,view,attractions nearby,smoking allowed,gæster,bed linen,blackout curtains,outdoor,host,mailbox,other,cleaning products,temperature,pool etc.,dishwasher,fireplace,fitness equipment,Sights,Safety,Shopping,Location,Climate,Affordability
0,Amsterdam,2024-07-04,1,571,4.85,346,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
1,Amsterdam,2024-07-04,1,747,4.59,510,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
2,Amsterdam,2024-07-04,1,544,4.72,494,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
3,Amsterdam,2024-07-04,1,894,4.83,143,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
4,Amsterdam,2024-07-04,1,619,4.53,72,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
5,Amsterdam,2024-07-04,1,605,4.75,28,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,7.3,7.5,6.5,8.75,5.5,2.5
6,Amsterdam,2024-07-04,1,329,4.87,431,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
7,Amsterdam,2024-07-04,1,767,4.98,62,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
8,Amsterdam,2024-07-04,1,833,4.85,144,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
9,Amsterdam,2024-07-04,1,714,4.12,17,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
10,Amsterdam,2024-07-04,1,465,4.82,149,2.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
11,Amsterdam,2024-07-04,1,693,4.70,176,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
12,Amsterdam,2024-07-04,1,491,4.84,448,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
13,Amsterdam,2024-07-04,1,745,4.90,255,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
14,Amsterdam,2024-07-04,1,746,4.25,8,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
15,Amsterdam,2024-07-04,1,368,4.66,469,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
16,Amsterdam,2024-07-04,1,413,4.89,75,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
17,Amsterdam,2024-07-04,1,752,4.40,382,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
18,Amsterdam,2024-07-04,1,737,4.68,79,4.0,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
19,Amsterdam,2024-07-04,1,636,4.86,323,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
