,city,date,treat,price,rating,omtaler,gæster,soveværelser,shampoo,hot water,hangers,blackout curtains,entertainment,work,family,security,wi-fi,kitchen,refrigerator,attractions nearby,outdoor,parkering and faciliteter,smoking allowed,hair dryer,other,cleaning products,temperature,view,bed linen,gæster,washing machine,host,fitness equipment,dishwasher,fireplace,pool etc.,mailbox,Sights,Safety,Shopping,Location,Climate,Affordability
0,Barcalona,2024-05-24,0,158,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,Barcalona,2024-05-24,0,219,4.34,41,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2,Barcalona,2024-05-24,0,307,4.82,49,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
3,Barcalona,2024-05-24,0,360,4.80,249,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
4,Barcalona,2024-05-24,0,394,4.76,242,6.0,6.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,6.0,1.0,1.0,,,,,,,,,,,
5,Barcalona,2024-05-24,0,224,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,
6,Barcalona,2024-05-24,0,289,4.46,13,4.0,4.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,4.0,1.0,1.0,,,,,,,,,,,
7,Barcalona,2024-05-24,0,261,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,
8,Barcalona,2024-05-24,0,175,4.59,456,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
9,Barcalona,2024-05-24,0,394,4.89,9,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,Barcalona,2024-05-24,0,351,4.85,34,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11,Barcalona,2024-05-24,0,219,5.0,5,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12,Barcalona,2024-05-24,0,246,4.89,47,8.0,8.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,8.0,,1.0,,,,,,,,,,,
13,Barcalona,2024-05-24,0,224,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14,Barcalona,2024-05-24,0,394,4.57,91,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
15,Barcalona,2024-05-24,0,307,4.40,20,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,
16,Barcalona,2024-05-24,0,373,4.45,1.805,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
17,Barcalona,2024-05-24,0,351,4.65,40,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,Barcalona,2024-05-24,0,307,4.25,63,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
19,Barcalona,2024-05-24,0,263,4.89,44,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
20,Barcalona,2024-05-24,0,307,4.82,38,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
21,Barcalona,2024-05-24,0,307,4.81,42,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
22,Barcalona,2024-05-24,0,333,4.67,9,8.0,8.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,8.0,1.0,1.0,,,,,,,,,,,
23,Barcalona,2024-05-24,0,224,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
24,Barcalona,2024-05-24,0,246,4.75,24,6.0,6.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,6.0,1.0,1.0,,,,,,,,,,,
25,Barcalona,2024-05-24,0,224,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
26,Barcalona,2024-05-24,0,429,4.54,63,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,
27,Barcalona,2024-05-24,0,394,4.49,51,,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,
28,Barcalona,2024-05-24,0,335,4.84,19,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,4.0,,1.0,,,,,,,,,,,
29,Barcalona,2024-05-24,0,360,4.80,424,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
30,Barcalona,2024-05-24,0,351,4.73,22,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
31,Barcalona,2024-05-24,0,412,4.50,4,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
32,Barcalona,2024-05-24,0,412,4.55,38,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
33,Barcalona,2024-05-24,0,351,5.0,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,
34,Barcalona,2024-05-24,0,395,4.98,48,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
35,Barcalona,2024-05-24,0,403,4.42,92,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
36,Barcalona,2024-05-24,0,394,4.77,22,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
37,Barcalona,2024-05-24,0,402,5.0,3,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
38,Barcalona,2024-05-24,0,184,4.50,20,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
39,Barcalona,2024-05-24,0,351,4.82,51,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
40,Barcalona,2024-05-24,0,421,4.58,205,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
41,Barcalona,2024-05-24,0,394,4.33,3,6.0,6.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,6.0,,1.0,,1.0,,,,,,,,,
42,Barcalona,2024-05-24,0,224,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
43,Barcalona,2024-05-24,0,315,4.45,33,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
44,Barcalona,2024-05-24,0,360,5.0,12,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,
45,Barcalona,2024-05-24,0,333,4.71,7,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
46,Barcalona,2024-05-24,0,280,4.33,3,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,
47,Barcalona,2024-05-24,0,431,4.60,30,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,
48,Barcalona,2024-05-24,0,373,4.55,73,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,
49,Barcalona,2024-05-24,0,394,4.86,59,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
50,Barcalona,2024-05-24,0,211,4.09,11,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
51,Barcalona,2024-05-24,0,412,4.64,11,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
52,Barcalona,2024-05-24,0,272,4.36,110,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,
53,Barcalona,2024-05-24,0,421,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,
54,Barcalona,2024-05-24,0,410,4.75,4,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
55,Barcalona,2024-05-24,0,394,4.65,17,,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
