,city,date,treat,price,rating,omtaler,gæster,soveværelser,view,bathroom,hair dryer,other,cleaning products,shampoo,hot water,hangers,blackout curtains,entertainment,work,family,kitchen,refrigerator,attractions nearby,parkering and faciliteter,host,mailbox,washing machine,security,wi-fi,bed linen,outdoor,dishwasher,smoking allowed,temperature,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
0,Berlin,2024-05-09,0,529,4.81,558,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
1,Berlin,2024-05-09,0,360,4.73,581,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
2,Berlin,2024-05-09,0,512,4.73,30,4.0,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
3,Berlin,2024-05-09,0,522,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
4,Berlin,2024-05-09,0,281,4.75,251,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
5,Berlin,2024-05-09,0,512,4.79,75,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
6,Berlin,2024-05-09,0,468,4.93,233,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
7,Berlin,2024-05-09,0,512,4.76,342,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
8,Berlin,2024-05-09,0,354,4.64,181,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,8.15,7.0,6.75,6.5,5.5,3.75
9,Berlin,2024-05-09,0,409,4.95,44,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,8.15,7.0,6.75,6.5,5.5,3.75
