,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,hangers,bed linen,entertainment,work,family,wi-fi,parkering and faciliteter,other,cleaning products,washing machine,temperature,kitchen,gæster,security,blackout curtains,refrigerator,dishwasher,outdoor,attractions nearby,view,smoking allowed,host,mailbox,fireplace,pool etc.,fitness equipment,Sights,Safety,Shopping,Location,Climate,Affordability
0,Bologna,2024-06-02,0,175,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
1,Bologna,2024-06-02,0,331,4.88,214,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
2,Bologna,2024-06-02,0,323,4.93,67,2.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
3,Bologna,2024-06-02,0,248,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
4,Bologna,2024-06-02,0,219,4.93,14,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
5,Bologna,2024-06-02,0,307,4.86,326,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
6,Bologna,2024-06-02,0,276,4.56,9,,4.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
7,Bologna,2024-06-02,0,194,4.37,95,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
8,Bologna,2024-06-02,0,263,5.0,16,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
9,Bologna,2024-06-02,0,289,4.89,221,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,3.0,1.0,,,,1.0,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
10,Bologna,2024-06-02,0,307,4.98,42,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
11,Bologna,2024-06-02,0,323,4.50,88,8.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,8.0,,,1.0,,1.0,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
12,Bologna,2024-06-02,0,132,4.93,27,4.0,4.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,4.0,1.0,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
13,Bologna,2024-06-02,0,323,4.67,3,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
14,Bologna,2024-06-02,0,262,4.71,7,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
15,Bologna,2024-06-02,0,184,4.17,6,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,4.0,1.0,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
16,Bologna,2024-06-02,0,307,5.0,5,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
