,city,date,treat,price,rating,omtaler,gæster,soveværelser,entertainment,security,work,wi-fi,kitchen,outdoor,bathroom,shampoo,washing machine,refrigerator,hot water,bed linen,family,parkering and faciliteter,hair dryer,hangers,smoking allowed,other,cleaning products,host,mailbox,view,dishwasher,blackout curtains,temperature,attractions nearby,fireplace,fitness equipment,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
0,Copenhagen,2024-05-17,0,706,5.0,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
1,Copenhagen,2024-05-17,0,530,4.90,125,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
2,Copenhagen,2024-05-17,0,694,4.88,281,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
3,Copenhagen,2024-05-17,0,500,4.60,134,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
4,Copenhagen,2024-05-17,0,379,4.35,51,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
5,Copenhagen,2024-05-17,0,294,4.88,109,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
6,Copenhagen,2024-05-17,0,730,4.86,180,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
7,Copenhagen,2024-05-17,0,736,4.93,414,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
8,Copenhagen,2024-05-17,0,465,4.60,45,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
9,Copenhagen,2024-05-17,0,588,4.70,69,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
10,Copenhagen,2024-05-17,0,412,4.92,350,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
11,Copenhagen,2024-05-17,0,524,4.77,224,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
12,Copenhagen,2024-05-17,0,765,4.89,63,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
13,Copenhagen,2024-05-17,0,823,4.73,11,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
14,Copenhagen,2024-05-17,0,668,4.88,67,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
15,Copenhagen,2024-05-17,0,465,5.0,7,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
16,Copenhagen,2024-05-17,0,465,4.96,116,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
17,Copenhagen,2024-05-17,0,818,4.88,8,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
18,Copenhagen,2024-05-17,0,588,4.96,28,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
19,Copenhagen,2024-05-17,0,659,4.67,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
20,Copenhagen,2024-05-17,0,647,4.85,110,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
21,Copenhagen,2024-05-17,0,534,4.63,48,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
22,Copenhagen,2024-05-17,0,412,4.85,39,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
23,Copenhagen,2024-05-17,0,705,4.92,38,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
24,Copenhagen,2024-05-17,0,424,4.52,128,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,6.8,9.0,5.25,8.25,5.0,1.25
25,Copenhagen,2024-05-17,0,706,4.46,543,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
26,Copenhagen,2024-05-17,0,728,4.90,30,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
27,Copenhagen,2024-05-17,0,765,4.55,29,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
28,Copenhagen,2024-05-17,0,706,4.91,141,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
29,Copenhagen,2024-05-17,0,524,4.45,198,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
30,Copenhagen,2024-05-17,0,697,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
31,Copenhagen,2024-05-17,0,630,4.88,138,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
32,Copenhagen,2024-05-17,0,530,4.87,15,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
33,Copenhagen,2024-05-17,0,588,4.33,3,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
34,Copenhagen,2024-05-17,0,588,4.68,87,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
35,Copenhagen,2024-05-17,0,408,4.68,50,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
36,Copenhagen,2024-05-17,0,559,4.76,17,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
37,Copenhagen,2024-05-17,0,393,4.58,53,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
38,Copenhagen,2024-05-17,0,712,,,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
39,Copenhagen,2024-05-17,0,588,4.80,191,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
40,Copenhagen,2024-05-17,0,765,4.95,65,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
