,city,date,treat,price,rating,omtaler,gæster,soveværelser,hot water,hangers,bed linen,security,work,wi-fi,kitchen,parkering and faciliteter,hair dryer,other,cleaning products,shampoo,blackout curtains,entertainment,temperature,refrigerator,outdoor,gæster,attractions nearby,family,dishwasher,washing machine,view,smoking allowed,host,mailbox,fitness equipment,fireplace,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
0,Lyon,2024-06-02,1,296,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
1,Lyon,2024-06-02,1,234,4.98,173,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
2,Lyon,2024-06-02,1,460,4.82,336,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
3,Lyon,2024-06-02,1,488,5.0,119,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
4,Lyon,2024-06-02,1,351,4.78,482,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
5,Lyon,2024-06-02,1,374,4.86,648,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
6,Lyon,2024-06-02,1,217,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
7,Lyon,2024-06-02,1,377,4.83,523,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
8,Lyon,2024-06-02,1,450,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
9,Lyon,2024-06-02,1,443,4.92,106,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
10,Lyon,2024-06-02,1,448,4.90,212,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
11,Lyon,2024-06-02,1,413,4.97,30,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
12,Lyon,2024-06-02,1,448,4.96,23,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
13,Lyon,2024-06-02,1,374,4.88,144,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,6.25,6.75,5.5,7.25,6.75,3.5
14,Lyon,2024-06-02,1,423,4.95,170,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,6.25,6.75,5.5,7.25,6.75,3.5
15,Lyon,2024-06-02,1,494,4.67,6,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
16,Lyon,2024-06-02,1,331,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
17,Lyon,2024-06-02,1,440,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
18,Lyon,2024-06-02,1,450,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
19,Lyon,2024-06-02,1,493,5.0,16,,2.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
20,Lyon,2024-06-02,1,295,4.89,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
21,Lyon,2024-06-02,1,360,4.67,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
22,Lyon,2024-06-02,1,494,4.86,23,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,6.25,6.75,5.5,7.25,6.75,3.5
23,Lyon,2024-06-02,1,403,4.82,66,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
24,Lyon,2024-06-02,1,271,4.91,35,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
25,Lyon,2024-06-02,1,200,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
26,Lyon,2024-06-02,1,260,4.84,51,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
27,Lyon,2024-06-02,1,359,4.87,15,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
28,Lyon,2024-06-02,1,269,4.72,196,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
29,Lyon,2024-06-02,1,430,4.79,160,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,6.25,6.75,5.5,7.25,6.75,3.5
30,Lyon,2024-06-02,1,342,4.60,47,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
31,Lyon,2024-06-02,1,360,4.77,101,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
32,Lyon,2024-06-02,1,377,4.96,73,,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
33,Lyon,2024-06-02,1,348,5.0,10,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
34,Lyon,2024-06-02,1,400,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
35,Lyon,2024-06-02,1,432,4.82,11,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
36,Lyon,2024-06-02,1,313,4.86,129,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
