,city,date,treat,price,rating,omtaler,gæster,soveværelser,other,cleaning products,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,parkering and faciliteter,smoking allowed,shampoo,blackout curtains,entertainment,gæster,hair dryer,temperature,family,attractions nearby,host,bed linen,outdoor,dishwasher,view,mailbox,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
0,Madrid,2024-05-29,1,167.0,4.73,249,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
1,Madrid,2024-05-29,1,136.0,4.93,14,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
2,Madrid,2024-05-29,1,180.0,4.44,45,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
3,Madrid,2024-05-29,1,176.0,4.57,21,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
4,Madrid,2024-05-29,1,158.0,4.62,37,,4.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
5,Madrid,2024-05-29,1,158.0,4.26,57,,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
6,Madrid,2024-05-29,1,180.0,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
7,Madrid,2024-05-29,1,168.0,5.0,9,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
8,Madrid,2024-05-29,1,176.0,4.63,87,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
9,Madrid,2024-05-29,1,149.0,4.89,54,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
10,Madrid,2024-05-29,1,167.0,4.82,17,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
11,Madrid,2024-05-29,1,193.0,4.63,76,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
12,Madrid,2024-05-29,1,176.0,4.76,85,2.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
13,Madrid,2024-05-29,1,176.0,4.69,106,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
14,Madrid,2024-05-29,1,176.0,4.80,40,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
15,Madrid,2024-05-29,1,213.0,,,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,,1.0,,,,,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
16,Madrid,2024-05-29,1,184.0,4.77,62,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
17,Madrid,2024-05-29,1,197.0,4.84,103,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
