,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hair dryer,other,cleaning products,shampoo,hot water,hangers,blackout curtains,entertainment,security,work,wi-fi,kitchen,refrigerator,attractions nearby,outdoor,parkering and faciliteter,family,temperature,dishwasher,host,mailbox,washing machine,smoking allowed,bed linen,gæster,fitness equipment,fireplace,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
0,Milan,2024-07-13,1,246,4.94,87,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
1,Milan,2024-07-13,1,504,4.93,41,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
2,Milan,2024-07-13,1,263,5.0,13,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
3,Milan,2024-07-13,1,455,5.0,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
4,Milan,2024-07-13,1,360,4.89,295,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
5,Milan,2024-07-13,1,504,4.63,24,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
6,Milan,2024-07-13,1,403,4.94,123,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
7,Milan,2024-07-13,1,429,4.33,42,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
8,Milan,2024-07-13,1,504,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
9,Milan,2024-07-13,1,461,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
10,Milan,2024-07-13,1,394,4.93,14,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
11,Milan,2024-07-13,1,342,4.68,313,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,,,,7.35,6.75,7.5,5.5,5.25,3.0
12,Milan,2024-07-13,1,513,4.97,442,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
13,Milan,2024-07-13,1,403,4.85,65,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
14,Milan,2024-07-13,1,500,4.87,448,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
15,Milan,2024-07-13,1,355,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,7.35,6.75,7.5,5.5,5.25,3.0
16,Milan,2024-07-13,1,461,4.85,117,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
17,Milan,2024-07-13,1,333,4.74,70,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
18,Milan,2024-07-13,1,477,4.77,31,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
19,Milan,2024-07-13,1,140,4.50,8,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
20,Milan,2024-07-13,1,522,4.50,30,,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
21,Milan,2024-07-13,1,246,4.95,114,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
22,Milan,2024-07-13,1,263,5.0,29,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
23,Milan,2024-07-13,1,132,4.34,32,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
24,Milan,2024-07-13,1,307,4.91,265,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
25,Milan,2024-07-13,1,491,4.82,57,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,,,,7.35,6.75,7.5,5.5,5.25,3.0
26,Milan,2024-07-13,1,451,4.77,22,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
27,Milan,2024-07-13,1,289,4.90,90,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
28,Milan,2024-07-13,1,439,4.59,27,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,,,7.35,6.75,7.5,5.5,5.25,3.0
29,Milan,2024-07-13,1,329,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
30,Milan,2024-07-13,1,197,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
31,Milan,2024-07-13,1,351,4.55,281,,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,7.35,6.75,7.5,5.5,5.25,3.0
32,Milan,2024-07-13,1,416,4.80,50,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
33,Milan,2024-07-13,1,260,4.50,14,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
34,Milan,2024-07-13,1,439,4.57,21,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,7.35,6.75,7.5,5.5,5.25,3.0
35,Milan,2024-07-13,1,394,5.0,4,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,7.35,6.75,7.5,5.5,5.25,3.0
