,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,shampoo,hot water,bed linen,entertainment,temperature,security,work,wi-fi,kitchen,outdoor,parkering and faciliteter,view,hair dryer,other,cleaning products,hangers,blackout curtains,family,dishwasher,attractions nearby,host,refrigerator,washing machine,fitness equipment,mailbox,fireplace,pool etc.,smoking allowed,Sights,Safety,Shopping,Location,Climate,Affordability
0,Oslo,2024-07-09,0,592,5.0,8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
1,Oslo,2024-07-09,0,407,4.93,194,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
2,Oslo,2024-07-09,0,560,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
3,Oslo,2024-07-09,0,894,,,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
4,Oslo,2024-07-09,0,729,,,6.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,6.2,8.5,5.5,8.5,4.0,1.25
5,Oslo,2024-07-09,0,768,4.83,12,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
6,Oslo,2024-07-09,0,584,4.94,345,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
7,Oslo,2024-07-09,0,609,4.67,3,3.0,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
8,Oslo,2024-07-09,0,592,4.63,8,2.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,6.2,8.5,5.5,8.5,4.0,1.25
9,Oslo,2024-07-09,0,414,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,6.2,8.5,5.5,8.5,4.0,1.25
10,Oslo,2024-07-09,0,642,4.45,11,3.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,6.2,8.5,5.5,8.5,4.0,1.25
11,Oslo,2024-07-09,0,553,,,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,6.2,8.5,5.5,8.5,4.0,1.25
12,Oslo,2024-07-09,0,629,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,6.2,8.5,5.5,8.5,4.0,1.25
13,Oslo,2024-07-09,0,499,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,6.2,8.5,5.5,8.5,4.0,1.25
