,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hair dryer,shampoo,hangers,entertainment,security,work,wi-fi,attractions nearby,other,cleaning products,hot water,washing machine,family,temperature,kitchen,refrigerator,dishwasher,parkering and faciliteter,bed linen,blackout curtains,outdoor,host,mailbox,view,smoking allowed,pool etc.,fitness equipment,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
0,Prag,2024-07-27,0,197.0,4.37,19,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Prag,2024-07-27,0,503.0,5.0,6,4.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2,Prag,2024-07-27,0,438.0,4.79,155,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
3,Prag,2024-07-27,0,438.0,4.88,139,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
4,Prag,2024-07-27,0,445.0,4.88,120,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
5,Prag,2024-07-27,0,499.0,4.71,14,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
6,Prag,2024-07-27,0,448.0,4.86,231,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
7,Prag,2024-07-27,0,365.0,4.72,47,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
8,Prag,2024-07-27,0,372.0,4.89,61,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
9,Prag,2024-07-27,0,596.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
10,Prag,2024-07-27,0,507.0,4.84,535,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,
11,Prag,2024-07-27,0,589.0,4.85,27,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
12,Prag,2024-07-27,0,509.0,4.30,352,6.0,5.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,
13,Prag,2024-07-27,0,233.0,,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
14,Prag,2024-07-27,0,581.0,4.32,82,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
15,Prag,2024-07-27,0,466.0,4.69,147,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,
16,Prag,2024-07-27,0,539.0,4.84,399,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,
17,Prag,2024-07-27,0,292.0,4.82,235,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,
18,Prag,2024-07-27,0,182.0,,,3.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
19,Prag,2024-07-27,0,204.0,4.34,35,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Prag,2024-07-27,0,219.0,4.28,626,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,Prag,2024-07-27,0,511.0,4.72,39,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
22,Prag,2024-07-27,0,495.0,4.77,434,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,
23,Prag,2024-07-27,0,346.0,4.52,25,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,
24,Prag,2024-07-27,0,401.0,5.0,11,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
25,Prag,2024-07-27,0,401.0,,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
26,Prag,2024-07-27,0,365.0,,,,4.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
27,Prag,2024-07-27,0,346.0,4.41,232,4.0,4.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
28,Prag,2024-07-27,0,398.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,
29,Prag,2024-07-27,0,360.0,4.80,362,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
30,Prag,2024-07-27,0,394.0,4.58,24,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,
31,Prag,2024-07-27,0,200.0,4.14,153,,2.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
32,Prag,2024-07-27,0,255.0,4.59,17,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
33,Prag,2024-07-27,0,262.0,4.79,117,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
34,Prag,2024-07-27,0,492.0,4.80,80,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
35,Prag,2024-07-27,0,299.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,
36,Prag,2024-07-27,0,438.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
37,Prag,2024-07-27,0,461.0,4.70,86,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
38,Prag,2024-07-27,0,382.0,4.96,28,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,
39,Prag,2024-07-27,0,302.0,4.14,7,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
40,Prag,2024-07-27,0,401.0,4.78,9,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
41,Prag,2024-07-27,0,160.0,4.73,52,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,
42,Prag,2024-07-27,0,317.0,4.63,149,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,
43,Prag,2024-07-27,0,401.0,4.85,370,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,
44,Prag,2024-07-27,0,345.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,
45,Prag,2024-07-27,0,438.0,4.69,124,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
46,Prag,2024-07-27,0,397.0,4.93,44,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,
47,Prag,2024-07-27,0,581.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
48,Prag,2024-07-27,0,306.0,4.63,39,7.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
49,Prag,2024-07-27,0,511.0,,,2.0,2.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
50,Prag,2024-07-27,0,288.0,4.55,23,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
51,Prag,2024-07-27,0,292.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
52,Prag,2024-07-27,0,511.0,4.96,45,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,
53,Prag,2024-07-27,0,401.0,5.0,6,4.0,4.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
54,Prag,2024-07-27,0,474.0,4.94,36,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,
55,Prag,2024-07-27,0,438.0,4.35,20,4.0,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
56,Prag,2024-07-27,0,381.0,4.49,52,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,
57,Prag,2024-07-27,0,438.0,5.0,15,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
58,Prag,2024-07-27,0,495.0,4.63,74,2.0,2.0,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,
59,Prag,2024-07-27,0,204.0,4.39,28,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Prag,2024-07-27,0,193.0,3.89,9,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Prag,2024-07-27,0,266.0,4.81,74,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,
62,Prag,2024-07-27,0,292.0,4.96,84,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
63,Prag,2024-07-27,0,341.0,4.42,27,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
64,Prag,2024-07-27,0,152.0,4.67,9,,15.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
65,Prag,2024-07-27,0,500.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
66,Prag,2024-07-27,0,325.0,4.67,3,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Prag,2024-07-27,0,248.0,4.60,32,,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
68,Prag,2024-07-27,0,589.0,4.88,19,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
69,Prag,2024-07-27,0,511.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
70,Prag,2024-07-27,0,219.0,4.68,88,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
71,Prag,2024-07-27,0,332.0,4.96,53,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,
72,Prag,2024-07-27,0,419.0,4.79,56,4.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
73,Prag,2024-07-27,0,304.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,
74,Prag,2024-07-27,0,365.0,4.67,12,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
75,Prag,2024-07-27,0,255.0,4.73,26,,17.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,
76,Prag,2024-07-27,0,518.0,4.96,24,2.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
77,Prag,2024-07-27,0,438.0,,,4.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,
78,Prag,2024-07-27,0,474.0,4.75,12,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
79,Prag,2024-07-27,0,306.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
80,Prag,2024-07-27,0,259.0,5.0,16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
81,Prag,2024-07-27,0,511.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
82,Prag,2024-07-27,0,448.0,4.86,7,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
83,Prag,2024-07-27,0,152.0,,,,15.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
84,Prag,2024-07-27,0,186.0,4.24,33,,6.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
85,Prag,2024-07-27,0,292.0,4.16,100,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,
86,Prag,2024-07-27,0,441.0,4.88,8,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
87,Prag,2024-07-27,0,374.0,4.82,92,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,
88,Prag,2024-07-27,0,346.0,4.93,95,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,
