,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hair dryer,shampoo,hot water,washing machine,hangers,bed linen,security,work,wi-fi,kitchen,refrigerator,dishwasher,family,attractions nearby,outdoor,parkering and faciliteter,pool etc.,host,other,cleaning products,temperature,blackout curtains,entertainment,mailbox,view,fireplace,fitness equipment,smoking allowed,Sights,Safety,Shopping,Location,Climate,Affordability
0,Stockholm,2024-05-17,1,1052.0,4.92,125,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
1,Stockholm,2024-05-17,1,487.0,4.87,90,2.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
2,Stockholm,2024-05-17,1,1113.0,5.0,10,2.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
3,Stockholm,2024-05-17,1,553.0,4.93,60,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
4,Stockholm,2024-05-17,1,631.0,4.87,132,2.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
5,Stockholm,2024-05-17,1,1029.0,4.96,46,2.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
6,Stockholm,2024-05-17,1,576.0,5.0,28,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
7,Stockholm,2024-05-17,1,1088.0,5.0,32,3.0,4.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
8,Stockholm,2024-05-17,1,697.0,5.0,7,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
9,Stockholm,2024-05-17,1,865.0,5.0,6,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
