,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,family,attractions nearby,outdoor,parkering and faciliteter,smoking allowed,other,cleaning products,bed linen,entertainment,temperature,host,mailbox,view,dishwasher,blackout curtains,fitness equipment,gæster,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
0,Vienna,2024-05-10,1,246,4.94,410,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
1,Vienna,2024-05-10,1,340,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
2,Vienna,2024-05-10,1,298,4.72,114,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
3,Vienna,2024-05-10,1,294,4.74,34,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
4,Vienna,2024-05-10,1,242,4.40,42,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
5,Vienna,2024-05-10,1,334,4.91,238,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,7.55,8.75,6.5,6.25,5.75,2.5
6,Vienna,2024-05-10,1,254,4.90,20,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
7,Vienna,2024-05-10,1,276,4.94,142,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
8,Vienna,2024-05-10,1,254,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,7.55,8.75,6.5,6.25,5.75,2.5
9,Vienna,2024-05-10,1,246,4.89,28,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,7.55,8.75,6.5,6.25,5.75,2.5
