,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hot water,security,work,wi-fi,kitchen,hair dryer,other,cleaning products,shampoo,washing machine,hangers,bed linen,family,refrigerator,dishwasher,parkering and faciliteter,host,mailbox,blackout curtains,entertainment,outdoor,view,temperature,attractions nearby,smoking allowed,pool etc.,fitness equipment,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
0,Warsaw,2024-08-01,1,267.0,4.42,113,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
1,Warsaw,2024-08-01,1,314.0,4.91,138,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
2,Warsaw,2024-08-01,1,376.0,4.96,193,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
3,Warsaw,2024-08-01,1,507.0,4.97,64,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
4,Warsaw,2024-08-01,1,194.0,4.35,91,2.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
5,Warsaw,2024-08-01,1,436.0,4.70,10,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
6,Warsaw,2024-08-01,1,109.0,4.43,44,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
7,Warsaw,2024-08-01,1,312.0,4.20,5,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
8,Warsaw,2024-08-01,1,236.0,4.63,16,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
9,Warsaw,2024-08-01,1,485.0,4.87,15,4.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
10,Warsaw,2024-08-01,1,493.0,4.97,76,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
11,Warsaw,2024-08-01,1,417.0,4.79,43,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
12,Warsaw,2024-08-01,1,258.0,4.76,37,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
13,Warsaw,2024-08-01,1,410.0,4.72,108,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,6.5,7.0,5.75,5.75,5.75,5.0
14,Warsaw,2024-08-01,1,337.0,4.75,4,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
15,Warsaw,2024-08-01,1,481.0,4.83,42,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
16,Warsaw,2024-08-01,1,422.0,4.94,18,5.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
17,Warsaw,2024-08-01,1,270.0,4.95,21,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,6.5,7.0,5.75,5.75,5.75,5.0
18,Warsaw,2024-08-01,1,353.0,4.73,15,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
19,Warsaw,2024-08-01,1,343.0,5.0,16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
20,Warsaw,2024-08-01,1,578.0,5.0,7,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
21,Warsaw,2024-08-01,1,298.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
22,Warsaw,2024-08-01,1,100.0,4.58,55,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
23,Warsaw,2024-08-01,1,280.0,4.0,4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,6.5,7.0,5.75,5.75,5.75,5.0
24,Warsaw,2024-08-01,1,447.0,4.90,10,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
25,Warsaw,2024-08-01,1,441.0,4.42,19,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
26,Warsaw,2024-08-01,1,417.0,4.82,39,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
27,Warsaw,2024-08-01,1,147.0,4.77,30,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
28,Warsaw,2024-08-01,1,513.0,,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
29,Warsaw,2024-08-01,1,375.0,4.66,92,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
30,Warsaw,2024-08-01,1,353.0,4.82,38,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
31,Warsaw,2024-08-01,1,441.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
32,Warsaw,2024-08-01,1,177.0,4.96,23,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
33,Warsaw,2024-08-01,1,432.0,4.60,5,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
34,Warsaw,2024-08-01,1,441.0,4.42,19,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
35,Warsaw,2024-08-01,1,491.0,5.0,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
36,Warsaw,2024-08-01,1,414.0,4.67,39,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
37,Warsaw,2024-08-01,1,332.0,5.0,18,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
38,Warsaw,2024-08-01,1,471.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
39,Warsaw,2024-08-01,1,192.0,5.0,3,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
40,Warsaw,2024-08-01,1,520.0,4.80,10,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
41,Warsaw,2024-08-01,1,471.0,4.67,3,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
42,Warsaw,2024-08-01,1,214.0,4.65,23,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
43,Warsaw,2024-08-01,1,393.0,4.86,21,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
44,Warsaw,2024-08-01,1,246.0,5.0,4,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
45,Warsaw,2024-08-01,1,334.0,4.73,11,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
46,Warsaw,2024-08-01,1,471.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
47,Warsaw,2024-08-01,1,200.0,4.64,11,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
