,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hair dryer,shampoo,hot water,hangers,bed linen,blackout curtains,entertainment,work,family,security,wi-fi,parkering and faciliteter,host,mailbox,other,cleaning products,washing machine,fireplace,temperature,kitchen,refrigerator,dishwasher,attractions nearby,outdoor,pool etc.,view,smoking allowed,fitness equipment,Sights,Safety,Shopping,Location,Climate,Affordability
0,Zürich,2024-07-09,1,992,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
1,Zürich,2024-07-09,1,706,4.52,174,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
2,Zürich,2024-07-09,1,798,4.98,40,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,5.65,8.75,5.0,8.25,4.25,0.75
3,Zürich,2024-07-09,1,603,4.69,201,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
4,Zürich,2024-07-09,1,980,4.70,89,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
5,Zürich,2024-07-09,1,992,4.50,18,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,5.65,8.75,5.0,8.25,4.25,0.75
6,Zürich,2024-07-09,1,834,4.87,76,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
7,Zürich,2024-07-09,1,679,4.99,102,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,5.65,8.75,5.0,8.25,4.25,0.75
8,Zürich,2024-07-09,1,898,4.88,48,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
9,Zürich,2024-07-09,1,551,4.73,123,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,5.65,8.75,5.0,8.25,4.25,0.75
10,Zürich,2024-07-09,1,641,4.80,5,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,5.65,8.75,5.0,8.25,4.25,0.75
11,Zürich,2024-07-09,1,540,4.93,380,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,5.65,8.75,5.0,8.25,4.25,0.75
12,Zürich,2024-07-09,1,660,4.61,141,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,,5.65,8.75,5.0,8.25,4.25,0.75
13,Zürich,2024-07-09,1,660,4.60,121,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,5.65,8.75,5.0,8.25,4.25,0.75
14,Zürich,2024-07-09,1,651,4.86,64,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,5.65,8.75,5.0,8.25,4.25,0.75
15,Zürich,2024-07-09,1,944,4.72,170,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,5.65,8.75,5.0,8.25,4.25,0.75
