,city,date,treat,price,rating,omtaler,bathroom,hair dryer,shampoo,hot water,washing machine,hangers,entertainment,security,work,wi-fi,kitchen,refrigerator,family,parkering og faciliteter,view,attractions nearby,smoking allowed,gæster,bed linen,blackout curtains,outdoor,host,mailbox,other,cleaning products,temperature,pool etc.,dishwasher,fireplace,fitness equipment,Sights,Safety,Shopping,Location,Climate,Affordability
0,Amsterdam,2024-07-04,1,571.0,4.85,346.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
1,Amsterdam,2024-07-04,1,747.0,4.59,510.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
2,Amsterdam,2024-07-04,1,544.0,4.72,494.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
3,Amsterdam,2024-07-04,1,894.0,4.83,143.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
4,Amsterdam,2024-07-04,1,619.0,4.53,72.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
5,Amsterdam,2024-07-04,1,605.0,4.75,28.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,7.3,7.5,6.5,8.75,5.5,2.5
6,Amsterdam,2024-07-04,1,329.0,4.87,431.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
7,Amsterdam,2024-07-04,1,767.0,4.98,62.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
8,Amsterdam,2024-07-04,1,833.0,4.85,144.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
9,Amsterdam,2024-07-04,1,714.0,4.12,17.0,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
10,Amsterdam,2024-07-04,1,465.0,4.82,149.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
11,Amsterdam,2024-07-04,1,693.0,4.7,176.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
12,Amsterdam,2024-07-04,1,491.0,4.84,448.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
13,Amsterdam,2024-07-04,1,745.0,4.9,255.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
14,Amsterdam,2024-07-04,1,746.0,4.25,8.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
15,Amsterdam,2024-07-04,1,368.0,4.66,469.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
16,Amsterdam,2024-07-04,1,413.0,4.89,75.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
17,Amsterdam,2024-07-04,1,752.0,4.4,382.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,7.3,7.5,6.5,8.75,5.5,2.5
18,Amsterdam,2024-07-04,1,737.0,4.68,79.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,7.3,7.5,6.5,8.75,5.5,2.5
19,Amsterdam,2024-07-04,1,636.0,4.86,323.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,7.3,7.5,6.5,8.75,5.5,2.5
